Fordeling;Ferdig prosent;Type;Steg;Sum alle;Sum alle SRO;Sum alle Elkraft;Sum alle SD
435.413;0;SRO;0;15;7;21;26
435.414;0;SRO;0;;;;
435.416;0;SRO;0;;;;
435.421;0;SRO;0;;;;
435.422;0;SRO;0;;;;
435.423;0;SRO;0;;;;
432.431;0;Elkraft;0;;;;
435.433;0;SRO;0;;;;
435.434;0;SRO;0;;;;
435.435;0;SRO;0;;;;
434.436;0;SD;0;;;;
462.436;0;0;0;;;;
432.451;64;Elkraft;Elcor - produserer Fordeling;;;;
433.451;64;Elkraft;Elcor - produserer Fordeling;;;;
434.451;64;SD;Elcor - produserer Fordeling;;;;
435.451;64;SRO;Elcor - produserer Fordeling;;;;
462.451;64;0;Elcor - produserer Fordeling;;;;
435.452;0;SRO;0;;;;
432.452;0;Elkraft;0;;;;
433.452;0;Elkraft;0;;;;
434.452;0;SD;0;;;;
435.453;0;SRO;0;;;;
433.453;0;Elkraft;0;;;;
432.453;0;Elkraft;0;;;;
434.454;64;SD;Elcor - produserer Fordeling;;;;
462.454;64;0;Elcor - produserer Fordeling;;;;
435.454;64;SRO;Elcor - produserer Fordeling;;;;
432.454;64;Elkraft;Elcor - produserer Fordeling;;;;
432.455;0;Elkraft;0;;;;
432.456;64;Elkraft;Elcor - produserer Fordeling;;;;
435.456;0;SRO;0;;;;
433.457;64;0;Elcor - produserer Fordeling;;;;
435.457;0;SRO;0;;;;
435.458;0;SRO;0;;;;
435.459;0;SRO;0;;;;
433.461;0;Elkraft;0;;;;
435.461;0;SRO;0;;;;
462.461;0;0;0;;;;
432.462;0;Elkraft;0;;;;
434.462;0;SD;0;;;;
435.462;0;SRO;0;;;;
462.462;0;0;0;;;;
