Tavle;16.05.2026
;
432.431;0
432.451;64
432.452;0
432.453;0
432.454;64
432.455;0
432.456;64
432.462;0
433.437;0
433.451;64
433.452;0
433.453;0
433.457;64
433.461;0
434.431;0
434.436;0
434.451;64
434.452;0
434.454;64
434.456;0
434.462;0
435.001;0
435.002;0
435.413;0
435.414;0
435.416;0
435.421;0
435.422;0
435.423;0
435.433;0
435.434;0
435.435;0
435.436;0
435.441;0
435.451;64
435.452;0
435.453;0
435.454;64
435.456;0
435.457;0
435.458;0
435.459;0
435.461;0
435.462;0
462.433;0
462.436;0
462.451;64
462.454;64
462.461;0
462.462;0
515.4131;0
515.4141;0
515.4161;0
515.4331;0
515.4361;0
515.4362;0
515.4363;0
515.4511;0
515.4541;0
515.4611;0
515.4621;0
516.4131;0
516.4141;0
516.4161;0
516.4211;0
516.4221;0
516.4231;0
516.4331;0
516.4351;0
516.4361;0
516.4371;0
516.4511;0
516.4541;0
516.4611;0
516.4621;0
517.4363;0
517.4511;0
517.4621;0
